iter	Passed	Remaining
0	5	23643
1	10	24869
2	15	23872
3	21	24552
4	26	24064
5	31	24155
6	36	24186
7	42	24312
8	47	24303
9	52	24210
10	57	24257
11	63	24220
12	67	24025
13	73	24231
14	78	24123
15	83	24017
16	89	24152
17	95	24337
18	99	24173
19	105	24238
20	111	24363
21	116	24389
22	122	24528
23	127	24468
24	133	24473
25	139	24600
26	144	24580
27	149	24576
28	156	24716
29	161	24691
30	166	24615
31	171	24626
32	176	24555
33	181	24530
34	186	24485
35	191	24419
36	197	24459
37	203	24520
38	209	24638
39	214	24613
40	221	24768
41	227	24744
42	232	24707
43	239	24909
44	244	24845
45	249	24767
46	254	24754
47	259	24693
48	264	24642
49	269	24642
50	274	24628
51	279	24574
52	284	24538
53	290	24538
54	295	24545
55	301	24548
56	306	24524
57	310	24457
58	316	24455
59	321	24438
60	327	24485
61	332	24477
62	338	24481
63	343	24418
64	348	24393
65	353	24377
66	358	24357
67	363	24356
68	369	24383
69	375	24376
70	379	24325
71	384	24285
72	390	24328
73	396	24345
74	401	24304
75	407	24334
76	412	24351
77	417	24319
78	423	24331
79	429	24355
80	435	24380
81	440	24397
82	445	24347
83	451	24366
84	457	24397
85	461	24354
86	466	24317
87	472	24324
88	477	24331
89	484	24377
90	489	24378
91	495	24378
92	501	24398
93	506	24393
94	511	24359
95	516	24340
96	522	24357
97	528	24379
98	534	24395
99	540	24409
100	545	24422
101	550	24381
102	556	24421
103	562	24414
104	567	24394
105	572	24386
106	578	24383
107	582	24354
108	588	24337
109	592	24306
110	598	24303
111	605	24375
112	610	24351
113	615	24313
114	620	24290
115	626	24313
116	632	24337
117	637	24325
118	642	24317
119	647	24284
120	654	24320
121	659	24331
122	665	24327
123	672	24375
124	679	24416
125	685	24464
126	692	24483
127	697	24488
128	703	24491
129	708	24476
130	713	24465
131	720	24508
132	726	24500
133	732	24521
134	738	24526
135	742	24492
136	747	24468
137	753	24479
138	759	24476
139	765	24483
140	771	24518
141	778	24548
142	785	24601
143	791	24613
144	796	24592
145	803	24633
146	808	24600
147	813	24570
148	818	24570
149	824	24582
150	830	24574
151	835	24566
152	840	24540
153	846	24537
154	851	24523
155	856	24512
156	861	24493
157	867	24485
158	873	24507
159	879	24516
160	888	24595
161	893	24592
162	898	24570
163	905	24612
164	911	24606
165	916	24578
166	921	24569
167	926	24551
168	931	24542
169	937	24528
170	942	24520
171	946	24488
172	952	24474
173	957	24466
174	962	24456
175	969	24469
176	974	24465
177	980	24463
178	985	24459
179	992	24476
180	997	24460
181	1003	24459
182	1008	24455
183	1013	24443
184	1019	24441
185	1025	24437
186	1029	24406
187	1034	24394
188	1040	24393
189	1046	24398
190	1050	24366
191	1056	24363
192	1062	24364
193	1067	24348
194	1072	24335
195	1077	24318
